País	2015M01	2015M02	2015M03	2015M04	2015M05	2015M06	2015M07	2015M08	2015M09	2015M10
Belgium	1715	1640	1745	1620	2095	2880	3590	5585	6830	:
Bulgaria	1070	1045	1110	1130	1345	1630	1870	1445	2075	:
Czech Republic	125	115	195	130	110	105	100	105	:	:
Denmark	640	440	460	555	880	1090	1035	:	:	:
Germany	25030	26080	32045	27165	25975	35440	37525	36415	43065	54870
Estonia	5	15	30	30	10	25	20	:	:	:
Ireland	215	200	210	265	255	335	290	330	:	:
Greece	1065	1015	915	980	1145	1120	1235	1050	:	:
Spain	840	860	1240	1345	1065	1305	:	:	:	:
France	4440	5630	6090	5650	4745	5600	5735	:	:	:
Croatia	25	25	15	15	10	10	10	10	:	:
Italy	4785	5140	5505	4590	5180	5335	8610	8825	:	:
Cyprus	165	140	165	165	135	150	165	:	:	:
Latvia	15	15	15	25	35	50	30	:	:	:
Lithuania	30	30	15	25	25	10	35	35	0	:
Luxembourg	90	95	105	80	95	105	115	190	:	:
Hungary	11925	16695	4925	6690	9970	16580	31285	47095	30795	:
Malta	95	170	130	115	180	120	145	:	:	:
Netherlands	1050	970	985	1270	2375	3085	3160	5500	:	:
Austria	4030	3255	2920	4040	6390	7675	8790	8795	:	:
Poland	610	600	630	750	680	860	1145	1375	1690	1430
Portugal	40	80	60	80	80	90	70	:	:	:
Romania	105	80	165	210	90	85	90	:	:	:
Slovenia	15	15	25	15	15	15	10	20	:	:
Slovakia	15	10	35	10	25	10	10	10	10	:
Finland	305	325	355	340	515	770	1480	2890	10815	7005
Sweden	4890	4045	4105	3915	5375	6610	8060	11725	24260	:
United Kingdom	2770	2230	2430	1950	2555	3055	4305	:	:	:
Iceland	15	15	10	15	5	20	20	45	60	:
Liechtenstein	5	0	10	5	15	20	10	10	35	:
Norway	595	530	535	580	1225	1145	1395	2330	4935	8660
Switzerland	1560	1415	1490	1375	2195	3800	3895	3890	4540	:
